,Title,Year,Cited_Count
288,彭水县乌江沿岸森林生态系统服务功能及其价值评估,2016,0
289,草地生态系统及其保护和服务价值评估,2016,0
290,基于GIS/RS的城市绿地生态价值定量评估,2018,0
291,加拿大河流型生态旅游目的地价值评估,2016,0
292,黄冈市森林生态系统服务价值评估研究,2015,0
293,洞庭湖生态系统功能分异及经济价值评估研究,2016,0
294,漳州市森林生态服务价值评估初探,2014,0
295,扎龙自然保护区生态系统服务价值评估及生态修复研究,2016,0
296,张家口坝上湿地生态经济价值评价,2016,0
297,南木林区森林资源生态效益价值评估的研究,2016,0
298,河南省伊川县森林生态效益价值评估探讨,2014,0
299,崇左市森林生态系统服务功能价值评估,2016,0
